
Código Contable;Descripción;Total (suma de todas las monedas)
415280902;Deudores por boletas de garantía pagadas;52.445.427
415280990;Otras cuentas por cobrar;128
415350000;Colocaciones para vivienda;352.340.368.602
415350100;Préstamos con letras de crédito para vivienda;104.449.547
415350200;Préstamos con mutuos hipotecarios endosable;408.171.463
415350300;Préstamos con mutuos financiados con bonos hipotecarios;0
415350400;Otros créditos con mutuos para vivienda;347.049.166.154
415350401;Otros créditos con mutuos no endosables para vivienda;0
415350402;Otros créditos con mutuos para vivienda;347.049.166.154
415350500;Operaciones de leasing financiero para vivienda;0
415350900;Otros créditos y cuentas por cobrar;4.778.581.438
415350901;Créditos complementarios a los mutuos;4.516.093.879
415350902;Créditos de enlace;262.487.559
415350903;Créditos provenientes de la ANAP;0
415350990;Cuentas por cobrar a deudores para vivienda;0
415380000;Colocaciones de consumo;1.332.236.855
415380100;Créditos de consumo en cuotas;1.332.198.874
415380200;Deudores en cuentas corrientes;0
415380300;Deudores por tarjetas de crédito;0
415380400;Operaciones de leasing financiero de consumo;37.981
415380900;Otros créditos y cuentas por cobrar;0
415380901;Créditos de consumo rotativos;0
415380990;Cuentas por cobrar a deudores de consumo;0
415450000;Otros instrumentos financieros;1.962.330.018
415450100;Depósitos en el Banco Central de Chile;0
415450101;Depósitos en cuenta corriente;0
415450102;Depósitos overnight;0
415450109;Otros depósitos disponibles;0
415450300;Depósitos en bancos del país;0
415450900;"          Otros ingresos por reajustes de la U.F., IVP, IPC ganados";1.962.330.018
415600000;ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL;19.195.161.593
415620000;Instrumentos financieros de deuda;19.195.161.593
415620100;Del Estado y Banco Central de Chile;9.655.372.812
415620101;Instrumentos financieros de deuda del Banco Central de Chile;0
415620102;Bonos y pagarés de la Tesorería General de la República;9.583.826.063
415620109;Otros instrumentos financieros de deuda fiscales;71.546.749
415620200;Otros instrumentos financieros de deuda emitidos en el país;9.539.788.781
415620201;Instrumentos financieros de deuda de otros bancos del país;8.165.304.609
415620202;Bonos y efectos de comercio de empresas del país;1.374.484.172
415620209;Otros instrumentos financieros de deuda emitidos en el país;0
415620300;Instrumentos financieros de deuda emitidos en el exterior;0
415620301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0
415620302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;0
415620303;Instrumentos financieros de deuda de otros bancos en el exterior;0
415620304;Bonos y efectos de comercio de empresas en el exterior;0
415620309;Otros instrumentos financieros de deuda emitidos en el exterior;0
415640000;Otros instrumentos financieros;0
415640100;Créditos originados y adquiridos por la entidad;0
415640101;Adeudado por bancos;0
415640102;Colocaciones comerciales;0
415640103;Colocaciones para vivienda;0
415640104;Colocaciones de consumo;0
415640200;Otros;0
415800000;"RESULTADO DE COBERTURAS CONTABLES DEL RIESGO POR REAJUSTES DE LA U.F., IVP, IPC";-61.469.007.269
415800100;Utilidad por contratos de derivados financieros para cobertura contable;2.307.703.669
415800200;Pérdida por contratos de derivados financieros para cobertura contable;-63.776.710.938
415800300;Resultados por ajuste de activos financieros cubiertos;0
416000000;"GASTOS POR REAJUSTES DE LA U.F., IVP, IPC";-318.961.260.851
416100100;PASIVOS FINANCIEROS A COSTO AMORTIZADO;-289.345.865.983
416150000;Depósitos y otras obligaciones a la vista;-9.439.720.624
416150100;Cuentas corrientes;0
416150101;Cuentas corrientes de bancos del país;0
416150102;Cuentas corrientes de bancos del exterior;0
416150103;Cuentas corrientes de otras personas jurídicas;0
416150104;Cuentas corrientes de personas naturales;0
416150200;Cuentas de depósito a la vista;0
416150201;Cuentas de ahorro a la vista;0
416150202;Cuentas a la vista;0
416150300;Otros depósitos a la vista;0
416150500;Otras obligaciones a la vista;-9.439.720.624
416180000;Depósitos y otras captaciones a plazo;-65.224.350.163
416180100;Depósitos a plazo;-55.000.710.723
416180200;Cuentas de ahorro a plazo;-10.082.070.082
416180201;Cuentas de ahorro a plazo con giro diferido;-4.635.773.561
416180202;Cuentas de ahorro a plazo con giro incondicional;-5.446.296.521
416180300;Otros saldos acreedores a plazo;-141.569.358
416180301;Boletas de garantías pagaderas con 30 días de aviso;-141.569.358
416180302;Depósitos en cuentas ¿overnight¿;0
416180390;Otros;0
416250000;Obligaciones por pactos de retrocompra y prestamos de valores;289.622
416250100;Operaciones con bancos del país;0
416250101;Contratos de retrocompra con otros bancos;0
416250102;Contratos de retrocompra con Banco Central de Chile;0
416250103;Obligaciones por préstamos de valores;0
416250200;Operaciones con bancos del exterior;0
416250201;Contratos de retrocompra con otros bancos;0
416250202;Contratos de retrocompra con Bancos Centrales del exterior;0
416250203;Obligaciones por préstamos de valores;0
416250300;Operaciones con otras entidades en el país;289.622
416250301;Contratos de retrocompra;289.622
416250302;Obligaciones por préstamos de valores;0
416250400;Operaciones con otras entidades en el exterior;0
416250401;Contratos de retrocompra;0
416250402;Obligaciones por préstamos de valores;0
416280000;Obligaciones con bancos;0
416280100;Bancos del país;0
416280110;Financiamientos de comercio exterior;0
416280111;Financiamientos para exportaciones chilenas;0
416280112;Financiamientos para importaciones chilenas;0
416280113;Obligaciones por operaciones entre terceros países;0
416280120;Préstamos y otras obligaciones;0
416280121;Préstamos interbancarios de liquidez;0
416280122;Préstamos interbancarios comerciales;0
416280123;Sobregiros en cuentas corrientes;0
416280124;Depósitos a plazo no transferibles;0
416280129;Otras obligaciones;0
416280200;Bancos del exterior;0
416280210;Financiamientos de comercio exterior;0
416280211;Financiamientos para exportaciones chilenas;0
416280212;Financiamientos para importaciones chilenas;0
416280213;Obligaciones por operaciones entre terceros países;0
416280220;Préstamos y otras obligaciones;0
416280221;Préstamos interbancarios de liquidez;0
416280222;Préstamos interbancarios comerciales;0
416280223;Sobregiros en cuentas corrientes;0
416280224;Depósitos a plazo no transferibles;0
416280229;Otras obligaciones;0
416280300;Banco Central de Chile;0
416280301;Préstamos y otras obligaciones;0
416280302;Líneas de crédito por reprogramación de deudas;0
416280400;Banco Central del Exterior;0
416280401;Préstamos y otras obligaciones;0
416280402;Líneas de crédito por reprogramación de deudas;0
416350000;Instrumentos financieros de deuda emitidos;-214.679.776.643
416350100;Letras de Créditos;-56.464.559
416350101;Letras de crédito para vivienda;-55.327.213
416350102;Letras de crédito para fines generales;-1.137.346
416350200;Bonos;-214.623.312.084
416350201;Bonos corrientes;-214.623.312.084
416350203;Bonos hipotecarios;0
416380000;Otras obligaciones financieras;-2.308.175
416380100;Obligaciones con el sector público;-2.308.175
416380101;Financiamientos de CORFO;-2.308.175
416380102;Obligaciones con otros organismos gubernamentales;0
416380200;Otras obligaciones en el país;0
416380201;Adeudado a establecimientos afiliados por el uso de tarjetas de crédito;0
416380202;Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos de tarjetas nominativas;0
416380203;Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos de tarjetas innominadas;0
416380204;Adeudado a operadores por servicios de operación de tarjetas de crédito;0
416380205;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos nominativas;0
416380206;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos innominadas;0
416380207;"               Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)";0
416380208;Obligaciones a favor de exportadores chilenos;0
416380290;Otros créditos obtenidos en el país;0
416380300;Obligaciones con el exterior;0
416380301;Adeudado a establecimientos afiliados por el uso de tarjetas;0
416380302;"               Adeudado a operadores por servicios de operación de tarjetas (débito, crédito, pago con provisión de fondos)";0
416380303;"               Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)";0
416380304;Obligaciones a favor de exportadores extranjeros;0
416380305;Adeudado a organismos internacionales;0
416380306;Otros créditos obtenidos en el exterior;0
416500000;INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS;-29.615.394.868
416500100;Bonos subordinados;-29.615.394.868
416500200;Bonos sin plazo fijo de vencimiento;0
416800000;"RESULTADO DE COBERTURAS CONTABLES DEL RIESGO POR REAJUSTES DE LA U.F., IVP, IPC";0
416800100;Utilidad por contratos de derivados financieros para cobertura contable;0
416800200;Pérdida por contratos de derivados financieros para cobertura contable;0
416800300;Resultados por ajuste de pasivos financieros cubiertos;0
420000000;INGRESOS POR COMISIONES Y SERVICIOS PRESTADOS;528.206.036.528
422150100;Comisiones por prepago de créditos;8.044.628.294
422150101;Créditos otorgados a bancos;0
422150102;Créditos comerciales;976.914.058
422150103;Créditos para vivienda;1.426.694.380
422150104;Créditos de consumo;5.641.019.856
422180100;Comisiones de préstamos con letras de crédito;79.189.667
422180101;Comisiones de préstamos con letras de crédito para vivienda;56.204.855
422180102;Comisiones de préstamos con letras de crédito para fines generales;22.984.812
422250100;Comisiones por líneas de crédito y sobregiros en cuenta corriente;3.706.703.970
422250101;Líneas de crédito;3.706.703.970
422250102;Sobregiros pactados;0
422280100;Comisiones por avales y cartas de crédito;27.506.836.003
422280101;Cartas de crédito de operaciones de circulación de mercancías;1.562.841.158
422280102;Avales y fianzas;0
422280103;Cartas de crédito stand-by;1.240.372.660
422280104;Boletas de garantía enteradas con pagaré u otro título de crédito a favor del banco;23.651.367.348
422280105;Boletas de garantía enteradas con depósito en dinero;914.928.068
422280190;Otros;137.326.769
422350100;Comisiones por servicios de tarjetas;181.974.273.653
422350101;Tarjetas de cajeros automáticos;43.554.885.466
422350102;Tarjetas de crédito - comisiones de titulares;36.054.941.430
422350103;Tarjetas de crédito - comisiones de establecimientos;67.095.042.916
422350104;Tarjetas de débito - comisiones de titulares;4.711.542.537
