
Código Contable;Descripción;Total (suma de todas las monedas)
416500000;INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS;-30.736.411.150
416500100;Bonos subordinados;-30.736.411.150
416500200;Bonos sin plazo fijo de vencimiento;0
416800000;RESULTADO DE COBERTURAS CONTABLES DEL RIESGO POR REAJUSTES DE LA U.F., IVP, IPC;98.162.987.856
416800100;Utilidad por contratos de derivados financieros para cobertura contable;98.162.987.856
416800200;Pérdida por contratos de derivados financieros para cobertura contable;0
416800300;Resultados por ajuste de pasivos financieros cubiertos;0
420000000;INGRESOS POR COMISIONES Y SERVICIOS PRESTADOS;172.129.316.293
422150100;Comisiones por prepago de créditos;4.196.292.339
422150101;Créditos otorgados a bancos;0
422150102;Créditos comerciales;3.146.403.454
422150103;Créditos para vivienda;111.032.680
422150104;Créditos de consumo;938.856.205
422180100;Comisiones de préstamos con letras de crédito;60.296.138
422180101;Comisiones de préstamos con letras de crédito para vivienda;22.980.236
422180102;Comisiones de préstamos con letras de crédito para fines generales;37.315.902
422250100;Comisiones por líneas de crédito y sobregiros en cuenta corriente;1.954.145.471
422250101;Líneas de crédito;1.954.145.471
422250102;Sobregiros pactados;0
422280100;Comisiones por avales y cartas de crédito;8.340.453.138
422280101;Cartas de crédito de operaciones de circulación de mercancías;251.003.788
422280102;Avales y fianzas;0
422280103;Cartas de crédito stand-by;2.094.524.302
422280104;Boletas de garantía enteradas con pagaré u otro título de crédito a favor del banco;683.694.514
422280105;Boletas de garantía enteradas con depósito en dinero;5.242.767.031
422280190;Otros;68.463.503
422350100;Comisiones por servicios de tarjetas;71.172.865.177
422350101;Tarjetas de cajeros automáticos;0
422350102;Tarjetas de crédito - comisiones de titulares;23.529.572.459
422350103;Tarjetas de crédito - comisiones de establecimientos;22.385.131.549
422350104;Tarjetas de débito - comisiones de titulares;10.182.803.548
422350105;Tarjetas de débito - comisiones de establecimientos;15.075.357.621
422350106;Tarjetas de pago con provisión de fondos para tarjetas nominativas ¿ comisiones de titulares;0
422350107;Tarjetas de pago con provisión de fondos para tarjetas innominadas ¿ comisiones de titulares;0
