
Código Contable;Descripción;Total (suma de todas las monedas)
416280113;Obligaciones por operaciones entre terceros países;0
416280120;Préstamos y otras obligaciones;0
416280121;Préstamos interbancarios de liquidez;0
416280122;Préstamos interbancarios comerciales;0
416280123;Sobregiros en cuentas corrientes;0
416280124;Depósitos a plazo no transferibles;0
416280129;Otras obligaciones;0
416280200;Bancos del exterior;0
416280210;Financiamientos de comercio exterior;0
416280211;Financiamientos para exportaciones chilenas;0
416280212;Financiamientos para importaciones chilenas;0
416280213;Obligaciones por operaciones entre terceros países;0
416280220;Préstamos y otras obligaciones;0
416280221;Préstamos interbancarios de liquidez;0
416280222;Préstamos interbancarios comerciales;0
416280223;Sobregiros en cuentas corrientes;0
416280224;Depósitos a plazo no transferibles;0
416280229;Otras obligaciones;0
416280300;Banco Central de Chile;0
416280301;Préstamos y otras obligaciones;0
416280302;Líneas de crédito por reprogramación de deudas;0
416280400;Banco Central del Exterior;0
416280401;Préstamos y otras obligaciones;0
416280402;Líneas de crédito por reprogramación de deudas;0
416350000;Instrumentos financieros de deuda emitidos;-47.150.020.683
416350100;Letras de Créditos;-7.090.742
416350101;Letras de crédito para vivienda;-4.791.943
416350102;Letras de crédito para fines generales;-2.298.799
416350200;Bonos;-47.142.929.941
416350201;Bonos corrientes;-47.142.929.941
416350203;Bonos hipotecarios;0
416380000;Otras obligaciones financieras;0
416380100;Obligaciones con el sector público;0
416380101;Financiamientos de CORFO;0
416380102;Obligaciones con otros organismos gubernamentales;0
416380200;Otras obligaciones en el país;0
416380201;Adeudado a establecimientos afiliados por el uso de tarjetas de crédito;0
416380202;Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos de tarjetas nominativas;0
416380203;Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos de tarjetas innominadas;0
416380204;Adeudado a operadores por servicios de operación de tarjetas de crédito;0
416380205;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos nominativas;0
416380206;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos innominadas;0
416380207;"               Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)";0
416380208;Obligaciones a favor de exportadores chilenos;0
416380290;Otros créditos obtenidos en el país;0
416380300;Obligaciones con el exterior;0
416380301;Adeudado a establecimientos afiliados por el uso de tarjetas;0
416380302;"               Adeudado a operadores por servicios de operación de tarjetas (débito, crédito, pago con provisión de fondos)";0
416380303;"               Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)";0
416380304;Obligaciones a favor de exportadores extranjeros;0
416380305;Adeudado a organismos internacionales;0
416380306;Otros créditos obtenidos en el exterior;0
416500000;INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS;-9.638.387.426
416500100;Bonos subordinados;-9.638.387.426
416500200;Bonos sin plazo fijo de vencimiento;0
416800000;"RESULTADO DE COBERTURAS CONTABLES DEL RIESGO POR REAJUSTES DE LA U.F., IVP, IPC";-1.512.249.623
416800100;Utilidad por contratos de derivados financieros para cobertura contable;0
416800200;Pérdida por contratos de derivados financieros para cobertura contable;-1.512.249.623
416800300;Resultados por ajuste de pasivos financieros cubiertos;0
420000000;INGRESOS POR COMISIONES Y SERVICIOS PRESTADOS;61.325.482.968
422150100;Comisiones por prepago de créditos;836.998.790
422150101;Créditos otorgados a bancos;0
422150102;Créditos comerciales;656.091.170
422150103;Créditos para vivienda;0
422150104;Créditos de consumo;180.907.620
422180100;Comisiones de préstamos con letras de crédito;7.749.987
422180101;Comisiones de préstamos con letras de crédito para vivienda;3.870.709
422180102;Comisiones de préstamos con letras de crédito para fines generales;3.879.278
422250100;Comisiones por líneas de crédito y sobregiros en cuenta corriente;6.184.905.955
422250101;Líneas de crédito;5.540.891.014
422250102;Sobregiros pactados;644.014.941
422280100;Comisiones por avales y cartas de crédito;855.765.446
422280101;Cartas de crédito de operaciones de circulación de mercancías;61.295.385
422280102;Avales y fianzas;0
422280103;Cartas de crédito stand-by;324.032.926
422280104;Boletas de garantía enteradas con pagaré u otro título de crédito a favor del banco;229.546.686
422280105;Boletas de garantía enteradas con depósito en dinero;0
422280190;Otros;240.890.449
422350100;Comisiones por servicios de tarjetas;6.090.465.296
422350101;Tarjetas de cajeros automáticos;0
422350102;Tarjetas de crédito - comisiones de titulares;1.227.333.922
422350103;Tarjetas de crédito - comisiones de establecimientos;1.209.252.629
422350104;Tarjetas de débito - comisiones de titulares;3.206.799.106
422350105;Tarjetas de débito - comisiones de establecimientos;0
422350106;Tarjetas de pago con provisión de fondos para tarjetas nominativas ¿ comisiones de titulares;0
422350107;Tarjetas de pago con provisión de fondos para tarjetas innominadas ¿ comisiones de titulares;0
